"original"
"TOYOTA"
"GLASS"
NA
"CREAM LIQUEUER"
"MEAT"
"PIZZA"
"BRILLO PADS"
"GROUPAGE"
"RETURNS"
"HBR GROUPAGE"
"SMOKE ALARMS"
"PETFOOD"
"FOAM"
"CHEESE"
"READY MEALS"
"TRAYS"
"BREAD"
"MT TRAYS"
"FOOD"
"PALLETS"
"PLYWOOD"
"CHIPBOARD"
"WOODS"
"M/T PALLETS"
"PACKAGING"
"BEER"
"GUINNESS"
"MEALS"
"CAGES"
"HBR GLASS"
"CARPARTS"
"YOGURT"
"BUTTER"
"CEMENT"
"FORKLIFTS LOWLOADER - MAIN DECK ONLY"
"4 VANS"
"ALCOHOL"
"CYLINDERS"
"CAKES"
"PLASTIC"
"LIFE SAVING APPLIANCES"
"CAR PARTS"
"COFFEE"
"FLOUR"
"EMPTY BOXES - TAUTLINER"
"BEEF"
"CHICKEN"
"DUDEDT-3077"
"NOVO NORDISK"
"SCRAP"
"DOG FOOD"
"CERALS"
"BISCUITSÝCL 4.1 UN 1350 SULPHUR"
"BABY FOOD"
"CARPET"
"CONCRETE"
"CO9NCRETE"
"CARDBOARD"
"STEEL"
"PHARMA"
"MACHINERY"
"FROZEN BUTTER"
"PHARMA +4"
"MEDICAL"
"EGG CARTONS"
"SCRAP METAL"
"CAT FOOD"
"INSULATION"
"FORKLIFTS"
"MACHINARY"
"COOKERS"
"HA GROUPAGE"
"3M WIDE LOAD."
"LOW LOADERÝLORRIES"
"BULK TANKER"
"MT CAGES"
"MT CRATES"
"GUUINESS"
"DRINK"
"GUINESS"
"GUIINESS"
"GIUNNESS"
"ANIMAL FEED"
"WASTE CARDBOARD"
"STONE"
"PET FOOD"
"PEAT"
"TIMBER"
"CANS"
"FURNITURE"
"PAPER"
"WOOD"
"ISOLATION"
"SHEDS"
"YARN"
"WOOL"
"STONES"
"MT PALLETS"
"ENGINE PARTS"
"DOOR FACINGS"
"MEDICAL GOODS"
"TIMBER BLOCKS"
"AMINAL FEED"
"BUILDING PRODUCTS"
"SORTED OFFICE PAPER"
"BEDS"
"FIBRE"
"BARLEY"
"TILES"
"WASTE PAPER"
"YIMBER"
"DOORS"
"FIRE EXT"
"PLASTICS"
"BRICKS"
"CHASSIS"
"MILK POWDER"
"COCACOLA"
"MAN COVER"
"CARBOARD"
"HAZ GROUPAGE"
"BABYFOOD"
"MDF"
"PLASTIC CAR PARTS"
"SCRAP CARS"
"CRATES"
"SOFT DRINKS"
"PLASTIC PIPES"
"CHOCOLATE"
"ORAN"
"MILKPOWDER"
"CAN ENDS"
"READYMEALS"
"FROZEN CHICKEN"
"EMPTY UNCLEAN IBC'S"
"SLATES"
"SLATE"
"BRICK"
"ASBESTOS"
"PHARMA AMBIENT"
"POWDER"
"QUINNS CEMENT"
"WASTE"
"ALUMINIUM"
"MUFFINS"
"KEGGS"
"BUNS"
"COMPUTER PARTS"
"FIRELIGHTERS"
"STEEL FRAMES"
"CERAL"
"MIXED HAZ"
"PAPER BAGS"
"DOGFOOD"
"CAR CRUSH""TRACTORS B2"
"TRACTORS CABIN 11"
"TRACTOR-TYRES-FARM EQUIP"
"TRAILER AXELS"
"TRAILERS DOUBLE STACKED  FL692"
"TRAILERS DOUBLE STACKED 1"
"TRAILERS DOUBLE STACKED F602"
"TRAILERS DOUBLE STACKED FL665"
"TRAILERS TRIPLE STACKED T39/T4"
"TRAIN DOLLY"
"TREDS"
"TRILERS"
"TRIMS"
"TRUCK HAZ SIGN"
"TRUCK/CONCRETE"
"TUBE"
"TURBINE TUBE"
"TYRES B2"
"TYRES WHEELS"
"TYRES/BEDDING"
"UNDER LAY"
"VAN TELEHANDKER"
"VAN TRACTORS"
"VAN-LIFT"
"VANS STEEL FRAMES"
"VANS X 2"
"WAHING POWDER"
"WALKERS"
"WARMFILL"
"WASHIN POWDER"
"WASHING POWEDER"
"WHEEL HUBS"
"WHEET"
"WHIE GOODS"
"WHITE GOOD"
"WHUTE GOODS"
"WINDMILL BLADES"
"WINDMILL PART"
"WOOD&METAL"
"WOOD/TIMBER  F1"
"WOOD/TIMBER 6"
"WOOD/TIMBER A2"
"WOOD/TIMBER B1"
"WOR FENCING"
"ZING"
