0
Aerospace
Animal Feed
Animals
Beverages
Building Material
Ceramics
Chemicals
Chemicals - Cosmetics
Chemicals - Petroleum
Dairy
Electrical \ Electronic goods
Electrical \ Electronic goods
Empty
Fish and crustaceans
Foods General
Footwear and Accessories
Fruit and Vegetables
Furniture
General
Groupage
Machinery
Mail
Meat
Metal
Mixed materials
POAO non-food
Packaging
Pallets - Empty
Paper
Peat
Pharmaceuticals
Plants and flowers
Plastic
Textile
Timber
Toiletries
Toys
Unknown
Vehicle Parts
Vehicles
Waste
Waste - Recycled
